meal,date,name,misc,Serving Size (g),Calories from Fat (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Caffeine (mg)
breakfast,20220219,black-coffee,,237,0,2.4,0.1,0,0,0,4.7,116,0,0,0,0.3,0,0,0,5,0,94.8
breakfast,20220219,black-coffee,,237,0,2.4,0.1,0,0,0,4.7,116,0,0,0,0.3,0,0,0,5,0,94.8
breakfast,20220219,fried-egg,,46,61,90,6.8,2,0,184,95,70,0.4,0,0.2,6.3,1.5,2.8,0,0,0,0
breakfast,20220219,fried-egg,,46,61,90,6.8,2,0,184,95,70,0.4,0,0.2,6.3,1.5,2.8,0,0,0,0
breakfast,20220219,bacon-costco,1 strip,9.5,35,45,4,1.5,0,7.5,85,0,0,0,0,2,0,0,0,0,0,0
lunch,20220219,apple-cider,,240,0,140,0,0,0,0,0,120,35,0,31,1,0,0,0,0,0,0
lunch,20220219,boiled-egg,,50,48,78,5.3,1.6,0,187,62,63,0.6,0,0.6,6.3,0.7,2,0,0,0,0
lunch,20220219,boiled-egg,,50,48,78,5.3,1.6,0,187,62,63,0.6,0,0.6,6.3,0.7,2,0,0,0,0
lunch,20220219,fried-tortilla-sabulte,,49,31,159,3.5,0.9,0,0,234,64,27,1.6,0,4.3,0.5,1.8,0,0,0,0
lunch,20220219,ground-beef,70g,73.45,115.05,200.2,13,4.81,0.52,65.65,66.95,280.15,0,0,0,20.15,0.39,5.655,0,0,0,0
lunch,20220219,refried-beans,100g,99.96,18.06,89.88,2.016,0.63,0,0,370.02,318.78,13.44,3.696,0.546,5.04,0.546,0.588,0,0,0,0
lunch,20220219,sandwich-icecream,,62,0,160,3,2,0,5,150,0,30,1,15,2,0,0,0,0,0,0
lunch,20220219,black-coffee,,237,0,2.4,0.1,0,0,0,4.7,116,0,0,0,0.3,0,0,0,5,0,94.8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1137.28,,,,,,,,,,,,,,,,
